"시도","시군구","기관명","주소","위치","연락처","대상","아빠이용","경도","위도","데이터기준일자"
"부산","해운대구","이마트해운대점","부산 해운대구 좌동순환로 511","1층","-","외부인","가능","129.1673773","35.16602153","2020-12-31"
"부산","해운대구","재반보건지소","부산 해운대구 해운대로61번길 28","1층","051-749-6536","외부인","가능","129.1228345","35.19242099","2020-12-31"
"부산","해운대구","재송어린이도서관","부산 해운대구 해운대로76번길 35-1","1층 유아실 내","051-749-7634","외부인","가능","129.1184919","35.18963089","2020-12-31"
"부산","해운대구","코레일동해선벡스코역","부산 해운대구 해운대로 351","2번출구 앞","051-440-2266","외부인","가능","129.1360936","35.17155637","2020-12-31"
"부산","해운대구","코레일동해선센텀역","부산 해운대구 해운대로 210 (재송동, 센텀역)","2번출구 앞","051-440-2264","외부인","가능","129.1245881","35.17945183","2020-12-31"
"부산","해운대구","코레일동해선송정역","부산 해운대구 해운대로 1147 (송정동, 송정역)","역무실 맞은편","051-440-2273","외부인","가능","129.2024362","35.18755456","2020-12-31"
"부산","해운대구","코레일동해선신해운대역","부산 해운대구 장산로 427","1번출구 화장실옆","051-440-2281","외부인","가능","129.1770325","35.18169309","2020-12-31"
"부산","해운대구","코레일동해선재송역","부산 해운대구 해운대로 100","게이트 옆","051-440-2262","외부인","가능","129.1204270","35.18822485","2020-12-31"
"부산","해운대구","해운대구문화복합센터","부산 해운대구 센텀중앙로 170","2층 어린이쉼터 내","051-749-6151","외부인","가능","129.1211894","35.18218753","2020-12-31"
"부산","해운대구","해운대구문화회관","부산 해운대구 양운로 97","2층","051-749-7651","외부인","가능","129.1739716","35.17116770","2020-12-31"
"부산","해운대구","해운대구보건소","부산 해운대구 양운로37번길 59","1층 아가맘센터","051-749-7525","외부인","가능","129.1786558","35.16410942","2020-12-31"
"부산","해운대구","해운대구육아종합지원센터","부산 해운대구 반송로513번길 66-11","2층","070-4420-8578","외부인","가능","129.1189306","35.22077852","2020-12-31"
"부산","해운대구","해운대구청","부산 해운대구 중동2로 11","1층","051-749-4262","외부인","가능","129.1635601","35.16313782","2020-12-31"
"부산","해운대구","해운대도서관","부산 해운대구 양운로 183","1층","051-709-0941","외부인","가능","129.1689092","35.17794100","2020-12-31"
"부산","해운대구","홈플러스센텀시티점","부산 해운대구 센텀동로 6","3층 문화센터","051-709-8123","외부인","가능","129.1336915","35.17091188","2020-12-31"
"부산","중구","롯데마트광복점","부산 중구 중앙대로 2","3층 푸드코트 옆","051-441-2500","외부인","가능","129.0367048","35.09830894","2020-12-31"
"부산","중구","롯데백화점광복점10F","부산 중구 중앙대로 2","10층 문화센터 화장실 옆","051-678-2352","외부인","가능","129.0367048","35.09830894","2020-12-31"
"부산","중구","롯데백화점광복점8F","부산 중구 중앙대로 2","8층 닥스키즈 옆","051-678-3604","외부인","가능","129.0367048","35.09830894","2020-12-31"
"부산","중구","부산교통공사남포역","부산 중구 구덕로 지하 12 (남포동1가, 도시철도 남포역)","고객센터 내","051-678-6111","외부인","가능","129.0342990","35.09800501","2020-12-31"
"부산","중구","부산교통공사자갈치역","부산 중구 구덕로 지하 80 (남포동6가, 도시철도 자갈치역)","고객센터 내","051-678-6110","외부인","가능","129.0271120","35.09775971","2020-12-31"
"부산","중구","부산교통공사중앙역","부산 중구 중앙대로 지하 83 (중앙동4가, 도시철도 중앙역)","고객센터 내","051-678-6112","외부인","가능","129.0363570","35.10375639","2020-12-31"
"부산","중구","부산시설공단남포지하상가상인회","부산 중구 구덕로 73 (남포동6가)","남포지하상가 10번출구 옆","051-256-1103","외부인","가능","129.0271590","35.09713735","2020-12-31"
"부산","중구","부산중구보건소","부산 중구 중구로 120 (대청동1가)","2층 모자보건실 내","051-600-4783","외부인","가능","129.0323514","35.10619736","2020-12-31"
"부산","중구","부산중구청","부산 중구 중구로 120","1층 화장실옆","051-600-4152","외부인","가능","129.0323514","35.10619736","2020-12-31"
"부산","중구","부산출입국외국인청종합민원센터","부산 중구 중앙대로 146 (중앙동4가)","대한항공건물 1층민원센터내","051-461-3166","외부인","가능","129.0379871","35.11033168","2020-12-31"
"부산","중구","부산항연안여객터미널","부산 중구 충장대로 24","1층 안내실 옆","051-400-3150","외부인","가능","129.0414684","35.10289225","2020-12-31"
"부산","중구","부산영화체험박물관","부산중구 대청로 126번길 12","2층 화장실 옆","051-715-6063","외부인","가능","129.0337513","35.10166915","2020-12-31"
"부산","영도구","영도구보건소","부산 영도구 태종로 423","구관 출입구 근처","051-419-4889","외부인","가능","129.0679144","35.09121408","2020-12-31"
"부산","영도구","영도구청","부산 영도구 태종로 423","구청 1층","051-419-4262","외부인","가능","129.0679144","35.09121408","2020-12-31"
"부산","영도구","영도도서관","부산 영도구 함지로79번길 6","1층 어린이자료실 내","051-419-4835","외부인","가능","129.0668621","35.07526852","2020-12-31"
"부산","영도구","영도어린이영어도서관","부산 영도구 절영로 71","3층 키즈월드 내","051-419-5673","외부인","가능","129.0389287","35.08860879","2020-12-31"
"부산","영도구","태종대유원지사업소","부산 영도구 전망로 24","입구 관광안내소 내","051-860-7867","외부인","가능","129.0798034","35.05969475","2020-12-31"
"부산","영도구","영도문화예술회관","부산광역시 영도구 함지로79번길 6","지하1층","051-419-5561","외부인","가능","129.0665540","35.07588600","2020-12-31"
"부산","영도구","국립해양박물관2F","부산 영도구 해양로301번길 45","전시동 2층화장실옆","051-309-1772","외부인","불가","129.0802497","35.07856617","2020-12-31"
"부산","영도구","국립해양박물관4F","부산 영도구 해양로301번길 45 (동삼동, 국립해양박물관)","전시동 4층화장실옆","051-309-1772","외부인","불가","129.0802497","35.07856617","2020-12-31"
"부산","연제구","거제종합사회복지관","부산 연제구 아시아드대로46번길 45","2층 아동신나는 놀이터안","051-507-8173","외부인","가능","129.0707024","35.18847696","2020-12-31"
"부산","연제구","부산고등법원","부산 연제구 법원로 31","1층 종합민원실 맞은편","051-590-1110","외부인","가능","129.0732703","35.19253748","2020-12-31"
"부산","연제구","부산교통공사교대역","부산 연제구 중앙대로 지하 1217 (거제동, 도시철도 교대역)","고객센터 내","051-678-6124","외부인","가능","129.0792787","35.19600843","2020-12-31"
"부산","연제구","부산교통공사시청역","부산 연제구 중앙대로 지하 1017 (연산동, 도시철도 시청역)","고객센터 내","051-678-6122","외부인","가능","129.0766266","35.17978006","2020-12-31"
"부산","연제구","부산교통공사연산역","부산 연제구 중앙대로 지하 1101 (연산동, 도시철도연산역)","고객센터내 별도의 공간","051-678-6123","외부인","가능","129.0815078","35.18607327","2020-12-31"
"부산","연제구","부산시청","부산 연제구 중앙대로 1001","2층 통합민원실 아주라휴게실","051-888-1451","외부인","가능","129.0750915","35.17992893","2020-12-31"
"부산","연제구","연제구보건소","부산 연제구 연제로 2","1층 구강보건실 안","051-665-4876","외부인","가능","129.0797412","35.17620985","2020-12-31"
"부산","연제구","연제구육아종합지원센터","부산 연제구 거제대로124번길 22","2층 장난감도서관내","051-866-7191","외부인","가능","129.0702605","35.17907038","2020-12-31"
"부산","연제구","연제구청","부산 연제구 연제로 2","1층 구정홍보관 옆","051-665-5012","직원용","불가","129.0797412","35.17620985","2020-12-31"
"부산","연제구","연제도서관","부산 연제구 황령산로 612","2층 열람실 맞은편","051-665-5511","외부인","가능","129.0829635","35.17416193","2020-12-31"
"부산","연제구","이마트연제점","부산 연제구 연수로 89 (연산동, 신세계연제점E마트)","2층 문화센터","051-860-1234","외부인","가능","129.0813103","35.17615076","2020-12-31"
"부산","연제구","코레일동해선거제역","부산 연제구 법원남로9번길 17","3층 고객지원실 옆","051-440-2238","외부인","가능","129.0742955","35.18950873","2020-12-31"
"부산","연제구","코레일동해선거제해맞이역","부산 연제구 거제대로 123 (거제동, 거제해맞이역)","1층 고객지원실 옆","051-440-2234","외부인","가능","129.0689926","35.18117281","2020-12-31"
"부산","연제구","코레일동해선교대역","부산 연제구 중앙대로 1196","3층 고객지원실 옆","051-440-2240","외부인","가능","129.0794788","35.19370811","2020-12-31"
"부산","연제구","홈플러스아시아드점","부산 연제구 종합운동장로 7","지하2층 문화센터","051-500-8005","외부인","가능","129.0620097","35.19126678","2020-12-31"
"부산","연제구","홈플러스연산점","부산 연제구 반송로 88","3층 서적코너 옆","051-850-8123","외부인","가능","129.0893357","35.19096064","2020-12-31"
"부산","수영구","메가마트남천점1F","부산 수영구 황령대로 521","1층 여자 화장실옆","051-608-6022","외부인","가능","129.1109928","35.13725731","2020-12-31"
"부산","수영구","메가마트남천점2F","부산 수영구 황령대로 521 (남천동, 메가마트 남천점)","2층 여자화장실 옆","051-608-6022","외부인","가능","129.1109928","35.13725731","2020-12-31"
"부산","수영구","민락수변공원","부산 수영구 광안해변로 361","2층 관리사무실 내","051-610-4742","외부인","가능","129.1313380","35.15634951","2020-12-31"
"부산","수영구","부산교통공사광안역","부산 수영구 수영로 지하 576 (광안동, 도시철도 광안역)","고객센터 내","051-678-6209","외부인","가능","129.1131729","35.15792416","2020-12-31"
"부산","수영구","부산교통공사금련산역","부산 수영구 수영로 지하 482 (남천동, 도시철도 금련산역)","고객센터 내","051-678-6210","외부인","가능","129.1109542","35.14974192","2020-12-31"
"부산","수영구","부산교통공사남천역","부산 수영구 수영로 지하 410 (남천동, 도시철도 남천역)","고객센터 내","051-678-6211","외부인","가능","129.1087702","35.14246971","2020-12-31"
"부산","수영구","부산교통공사망미역","부산 수영구 연수로 지하 337 (망미동, 도시철도 망미역)","고객센터 내","051-678-6302","외부인","가능","129.1075459","35.17192927","2020-12-31"
"부산","수영구","부산교통공사민락역","부산 수영구 수영로 지하 769 (민락동, 도시철도 민락역)","고객센터 내","051-678-6207","외부인","가능","129.1227881","35.16672298","2020-12-31"
"부산","수영구","부산교통공사수영역","부산 수영구 수영로 지하 677 (광안동, 도시철도 수영역)","고객센터 내","051-678-6208","외부인","가능","129.1145600","35.16625823","2020-12-31"
"부산","수영구","부산동부고용복지플러스센터","부산 수영구 수영로 676","1층 안내센터옆","051-760-7114","외부인","가능","129.1151602","35.16600031","2020-12-31"
"부산","수영구","수영구보건소","부산 수영구 수영로 637-5","3층 모자보건실내","051-610-5604","외부인","가능","129.1134875","35.16247327","2020-12-31"
"부산","수영구","수영구육아종합지원센터","부산 수영구 장대골로 20-14 (광안동)","1층 안내데스크 맞은편","051-756-3700","외부인","가능","129.1115066","35.15967916","2020-12-31"
"부산","수영구","수영구청","부산 수영구 남천동로 100","2층 대강당옆","051-610-4152","외부/직원용","가능","129.1123652","35.14536623","2020-12-31"
"부산","수영구","수영세무서","부산 수영구 남천동로19번길 28","1층 민원실 내","051-620-9242","외부인","가능","129.1112429","35.14353771","2020-12-31"
"부산","수영구","인구보건복지협회부산지회가족보건의원","부산 수영구 수영로 425 (남천동)","가족보건의원","051-638-6909","외부인","가능","129.1089905","35.14414427","2020-12-31"
"부산","수영구","코스트코부산점","부산 수영구 구락로 137","1층 여자 화장실옆","-","외부인","가능","129.1152652","35.17850156","2020-12-31"
"부산","서구","국민건강보험공단서부지사","부산 서구 구덕로285번길 7","1층 민원실 내부","051-240-6115","외부인","가능","129.0178327","35.10917775","2020-12-31"
"부산","서구","동아대학교법학전문대학원","부산 서구 구덕로 225","법학대학 건물 1층 진료실 내","051-200-8581","외부인","가능","129.0194103","35.10373802","2020-12-31"
"부산","서구","부산교통공사동대신역","부산 서구 구덕로 지하 290 (동대신동2가)","고객센터 내","051-678-6108","외부인","가능","129.0176187","35.11048659","2020-12-31"
"부산","서구","부산교통공사서대신역","부산 서구 대영로 지하 1 (서대신동2가)","고객센터 내","051-240-6107","외부인","가능","129.0194264","35.11090183","2020-12-31"
"부산","서구","부산교통공사토성역","부산 서구 구덕로 지하 170 (토성동3가)","고객센터 내","051-240-6109","외부인","가능","129.0197893","35.10070611","2020-12-31"
"부산","서구","부산서구청","부산 서구 구덕로 120","본관 민원안내실 앞","051-240-4262","외부인","가능","129.0234240","35.09753855","2020-12-31"
"부산","서구","서구보건소","부산 서구 부용로 30","1층 모자보건실 내부","051-240-4869","외부인","가능","129.0180414","35.10743629","2020-12-31"
"부산","서구","송도해상케이블카","부산 서구 송도해변로 171 (암남동, 송도케이블카)","송도해상케이블카 본건물 2층","051-247-9909","외부인","가능","129.0233614","35.07675264","2020-12-31"
"부산","서구","송도해수욕장","부산 서구 송도해변로 50","송도해수욕장 임해행정봉사실 2층 숙직실","051-240-4086","외부인","불가","129.0163418","35.07394528","2020-12-31"
"부산","서구","건강가정지원센터","부산 서구 구덕로 127 3층 공동육아나눔터 내","-","051-257-0064","외부인","가능","129.0221100","35.09677800","2020-12-31"
"부산","사하구","부산교통공사신평역","부산 사하구 하신번영로 140","고객센터 내","051-678-6101","외부인","가능","128.9605919","35.09215815","2020-12-31"
"부산","사하구","부산교통공사장림역","부산 사하구 다대로 지하 230 (장림동, 장림역)","대합실 5번출구쪽","051-678-6199","외부인","가능","128.9773809","35.08191897","2020-12-31"
"부산","사하구","부신교통공사하단역","부산 사하구 낙동남로 지하 1415 (하단동, 하단역)","고객센터 내","051-678-6102","외부인","가능","128.9662412","35.10618422","2020-12-31"
"부산","사하구","사하구건강가정지원센터공동육아나눔터","부산 사하구 동매로66번길 6","하단꿈길 작은도서관 1층","051-205-4583","외부인","가능","128.9652983","35.10250497","2020-12-31"
"부산","사하구","사하구청","부산 사하구 낙동대로398번길 12","1층 로비 직원휴게실옆","051-220-4261","외부인","가능","128.9747879","35.10450217","2020-12-31"
"부산","사하구","아트몰링부산점","부산 사하구 낙동남로 1413","12층 유아휴게실","051-999-7223","외부인","가능","128.9668740","35.10681916","2020-12-31"
"부산","사하구","탑마트신평점","부산 사하구 하신중앙로 210","1층 매장입구","051-293-8483","외부인","가능","128.9623063","35.09712033","2020-12-31"
"부산","사하구","홈플러스장림점","부산 사하구 다대로 225","4층 푸드코트 내","051-792-8540","외부인","가능","128.9782534","35.08243474","2020-12-31"
"부산","사하구","뉴코아아울렛괴정점","부산 사하구 사하로 190","4층","051-209-5119","외부인","가능","128.9938949","35.09903752","2020-12-31"
"부산","사하구","롯데마트사하점","부산 사하구 을숙도대로 610","2층","051-603-2528","외부인","가능","128.9723158","35.08478117","2020-12-31"
"부산","사하구","부산교통공사괴정역","부산 사하구 낙동대로 지하 221 (괴정동, 괴정역)","고객센터 내","051-678-6105","외부인","가능","128.9925014","35.09989627","2020-12-31"
"부산","사하구","부산교통공사낫개역","부산 사하구 다대로 지하 422 (다대동, 낫개역)","고객센터 옆(잠금장치)","051-678-6197","외부인","가능","128.9796593","35.06522442","2020-12-31"
"부산","사하구","부산교통공사다대포항역","부산 사하구 다대로 지하 548 (다대동, 다대포항역)","고객센터 내","051-678-6196","외부인","가능","128.9708363","35.05711963","2020-12-31"
"부산","사하구","부산교통공사다대포해수욕장역","부산 사하구 다대로 692","고객센터 옆","051-678-6195","외부인","가능","128.9658666","35.04844266","2020-12-31"
"부산","사하구","부산교통공사당리역","부산 사하구 낙동대로 지하 405 (당리동, 당리역)","고객센터 내","051-678-6103","외부인","가능","128.9738545","35.10349109","2020-12-31"
"부산","사하구","부산교통공사대티역","부산 사하구 낙동대로 지하 141 (괴정동, 대티역)","고객센터 내","051-678-6106","외부인","가능","129.0002818","35.10290604","2020-12-31"
"부산","사하구","부산교통공사동매역","부산 사하구 신산로 지하 168 (신평동, 동매역)","고객센터 내","051-678-6100","외부인","가능","128.9734497","35.08975686","2020-12-31"
"부산","사하구","부산교통공사사하역","부산 사하구 낙동대로 지하 309 (괴정동, 사하역)","고객센터 내","051-678-6104","외부인","가능","128.9830544","35.09960378","2020-12-31"
"부산","사하구","부산교통공사신장림역","부산 사하구 다대로 지하 310 (장림동, 신장림역)","고객센터 옆","051-678-6198","외부인","가능","128.9773809","35.08191897","2020-12-31"
"부산","사하구","사하구제2청사","부산 사하구 하신중앙로 185","1층 아가맘센터, 3층 수유실","051-220-5762","외부인","가능","128.9605919","35.09215815","2020-12-31"
"부산","사하구","사하구 다대도서관","부산 사하구 다대낙조2길 9","2층 어린이자료실","051-220-5866","외부인","가능","128.9646800","35.05041000","2020-12-31"
"부산","사하구","부산광역시 현대미술관","부산 사하구 낙동남로 1191","지하1층","051-220-7331","외부인","불가","128.9428500","35.10956000","2020-12-31"
"부산","사상구","국민건강보험공단부산사상지사","부산 사상구 사상로181번길 10","4층 민원실 맞은 편","051-320-0112","외부인","가능","128.9849984","35.16078430","2020-12-31"
"부산","사상구","르네시떼","부산 사상구 광장로 7","르네관 1,2,3,4,6층, 시떼관1층","051-319-8941","외부인","가능","128.9777197","35.16433176","2020-12-31"
"부산","사상구","모라종합사회복지관","부산 사상구 모라로110번길 129","2층 복도 왼쪽 끝 도서관 안","051-304-9876","외부인","가능","128.9978728","35.18494438","2020-12-31"
"부산","사상구","미래어린이병원","부산 사상구 낙동대로 790","신우프라자 4층원무과 앞","051-313-1717","외부인","불가","128.9724492","35.13103136","2020-12-31"
"부산","사상구","부산교통공사냉정역","부산 사상구 가야대로 지하 362-1 (주례동, 냉정역)","고객센터 내","051-678-6224","외부인","가능","129.0125296","35.15126359","2020-12-31"
"부산","사상구","부산교통공사덕포역","부산 사상구 사상로 지하 320-1 (덕포동, 덕포역)","고객센터 내","051-678-6228","외부인","가능","128.9839718","35.17395307","2020-12-31"
"부산","사상구","부산교통공사모덕역","부산 사상구 사상로 지하 409 (덕포동, 모덕역)","고객센터 내","051-678-6229","외부인","가능","128.9855646","35.18039411","2020-12-31"
"부산","사상구","부산교통공사모라역","부산 사상구 사상로 지하 498 (모라동, 모라역)","고객센터 내","051-678-6230","외부인","가능","128.9886082","35.18964463","2020-12-31"
"부산","사상구","부산교통공사주례역","부산 사상구 가야대로 지하 292 (주례동, 주례역)","고객센터 내","051-678-6225","외부인","가능","129.0031366","35.15050353","2020-12-31"
"부산","사상구","부산구치소","부산 사상구 학장로 268","1층 종합민원실 내","051-309-8580","외부인","가능","128.9969690","35.14603849","2020-12-31"
"부산","사상구","부산보훈병원","부산 사상구 백양대로 420","동관 2층 소아청소년과","051-601-6372","외부/직원용","가능","129.0082475","35.15289483","2020-12-31"
"부산","사상구","부산북부고용노동지청","부산 사상구 백양대로 804","3층 직원 휴게실","051-309-1577","외부인","가능","128.9889077","35.17903275","2020-12-31"
"부산","사상구","사상경찰서","부산 사상구 학감대로 264","1층 민원실 입구","051-329-0321","외부인","가능","128.9913635","35.15436842","2020-12-31"
"부산","사상구","사상구보건소","부산 사상구 학감대로 242","2층 모자보건실 안","051-310-4817","외부인","가능","128.9914512","35.15254688","2020-12-31"
"부산","사상구","사상구육아종합지원센터","부산 사상구 낙동대로1210번길 17","1층 안내데스크 앞","051-321-3389","외부인","가능","128.9778956","35.16801707","2020-12-31"
"부산","사상구","사상구청","부산 사상구 학감대로 242","1층 민원실입구","051-310-4261","외부인","가능","128.9914512","35.15254688","2020-12-31"
"부산","사상구","애플아울렛","부산 사상구 사상로 201","2층 푸드코드 옆","051-559-1543","외부인","불가","128.9809876","35.16315151","2020-12-31"
"부산","사상구","은혜로교회","부산 사상구 대동로 14","본당 4층","051-311-9191","외부인","불가","128.9735622","35.13235649","2020-12-31"
"부산","사상구","이마트사상점","부산 사상구 광장로 17","2층 수선실 옆","051-329-1113","외부인","가능","128.9788930","35.16423213","2020-12-31"
"부산","사상구","좋은삼선병원","부산 사상구 가야대로 326","신관 1층 소아청소년과 내","051-310-9402","외부/직원용","가능","129.0078075","35.15014923","2020-12-31"
"부산","사상구","큰솔병원","부산 사상구 대동로 141","1층 소아과 옆","051-325-9700","외부인","가능","128.9825495","35.14063085","2020-12-31"
"부산","사상구","홈플러스서부산점","부산 사상구 광장로 7","지하 2층 문화센터옆","051-319-9173","외부인","가능","128.9777197","35.16433176","2020-12-31"
"부산","사상구","사상아동보건센터","부산 사상구 백양대로 952(모라1동)","사상아동보건센터 1층","051-310-5233","외부/직원용","가능","128.9923800","35.19130000","2020-12-31"
"부산","북구","구포2동주민센터","부산 북구 낙동북로663번길 23","1층 여자 화장실옆","051-309-6234","외부인","가능","128.9979584","35.20269212","2020-12-31"
"부산","북구","농협하나로마트","부산 북구 금곡대로 468","2층 한의원 옆","051-330-9186","외부인","가능","129.0127713","35.25022531","2020-12-31"
"부산","북구","뉴코아아울렛덕천점","부산 북구 만덕대로 23","5층 유아휴게실","-","외부인","가능","129.0075948","35.21110330","2020-12-31"
"부산","북구","덕천3동주민센터","부산 북구 덕천로 118","1층 숙직실","051-309-6413","외부인","가능","129.0174538","35.20992104","2020-12-31"
"부산","북구","덕천보건지소","부산 북구 만덕대로 89번길 9","1층 민원실 옆","051-309-7071","외부인","가능","129.0144031","35.21276802","2020-12-31"
"부산","북구","롯데마트화명점","부산 북구 화명대로 47","3층 세탁소 옆 유아휴게실","051-604-2500","외부인","불가","129.0130124","35.23517016","2020-12-31"
"부산","북구","부산공통공사화명역","부산 북구 금곡대로 지하 311 (화명동, 화명역)","고객센터 내","051-309-6235","외부인","가능","129.0138772","35.23580289","2020-12-31"
"부산","북구","부산교통공사구남역","부산 북구 백양대로 지하 1026 (구포동, 도시철도구남역)","고객센터 내","051-678-6231","외부인","가능","128.9949997","35.19692055","2020-12-31"
"부산","북구","부산교통공사구명역","부산 북구 백양대로 지하 1094 (구포동, 구명역)","고객센터 내","051-678-6232","외부인","가능","128.9995075","35.20274242","2020-12-31"
"부산","북구","부산교통공사구포역","부산 북구 낙동대로 1697 (구포동, 구포역)","고객센터 내","051-678-6314","외부인","가능","128.9964147","35.20667098","2020-12-31"
"부산","북구","부산교통공사금곡역","부산 북구 금곡대로 685","고객센터 내","051-678-6238","외부인","가능","129.0169099","35.26747006","2020-12-31"
"부산","북구","부산교통공사남산정역","부산 북구 만덕대로 지하 179 (만덕동, 남산정역)","고객센터 내","051-678-6311","외부인","가능","129.0245042","35.21336790","2020-12-31"
"부산","북구","부산교통공사덕천역","부산 북구 금곡대로 지하 14 (덕천동, 3호선덕천역)","고객센터 내","051-678-6233","외부인","가능","129.0056600","35.21007380","2020-12-31"
"부산","북구","부산교통공사동원역","부산 북구 금곡대로 575","고객센터 내","051-678-6237","외부인","가능","129.0123927","35.25864740","2020-12-31"
"부산","북구","부산교통공사만덕역","부산 북구 만덕대로 지하 291 (만덕동, 만덕역)","고객센터 내","051-678-6310","외부인","가능","129.0361523","35.21295315","2020-12-31"
"부산","북구","부산교통공사수정역","부산 북구 금곡대로 지하 160 (화명동, 수정역)","고객센터 내","051-678-6234","외부인","가능","129.0091490","35.22307882","2020-12-31"
"부산","북구","부산교통공사숙등역","부산 북구 만덕대로 지하 79 (덕천동, 숙등역)","고객센터 내","051-678-6312","외부인","가능","129.0134727","35.21214485","2020-12-31"
"부산","북구","부산북구다문화가족지원센터","부산 북구 효열로 76(금곡4단지 주공아파트)","공동육아나눔터 내","051-365-3408","외부인","가능","129.0153852","35.25363765","2020-12-31"
"부산","북구","부산교통공사율리역","부산 북구 금곡대로 지하 440 (금곡동, 율리역)","고객센터 내","051-678-6236","외부인","가능","129.0129201","35.24716837","2020-12-31"
"부산","북구","부산북구보건소","부산 북구 금곡대로 348","1층 모자보건실옆","051-309-7022","외부인","가능","129.0144151","35.23929575","2020-12-31"
"부산","북구","부산북구육아종합지원센터","부산 북구 만덕1로104번가길 37 (만덕동)","1층","051-342-6161","외부인","불가","129.0284401","35.21628203","2020-12-31"
"부산","북구","부산시인재개발원","부산 북구 효열로 256","3층 모성상담실 맞은편","051-366-7583","외부인","가능","129.0211391","35.26817352","2020-12-31"
"부산","북구","북구청","부산 북구 낙동대로1570번길 33","1층 노조사무실 옆","051-309-4376","외부인","가능","128.9900906","35.19687972","2020-12-31"
"부산","북구","시립구포도서관","부산 북구 백양대로1016번다길 43","1층 어린이도서관 안","051-330-6344","외부인","가능","128.9960069","35.19397371","2020-12-31"
"부산","북구","코레일구포역","부산 북구 구포만세길 82 (구포동, 구포역)","2층 고객대기실 내","051-440-2495","외부인","가능","128.9971469","35.20547510","2020-12-31"
"부산","북구","한국방송통신대학교부산","부산 북구 학사로17번길 14","1층 유아방 내","051-361-9905","외부인","불가","129.0064805","35.22402949","2020-12-31"
"부산","북구","화명1동주민센터","부산 북구 금곡대로 274","민원실 안쪽 상담실내","051-309-6312","외부인","가능","129.0137846","35.23278402","2020-12-31"
"부산","북구","화명2동주민센터","부산 북구 양달로 58","1층 상담실","051-309-6324","외부인","가능","129.0198418","35.24361279","2020-12-31"
"부산","북구","화명3동주민센터","부산 북구 화명신도시로 85","1층 당직실","051-309-6353","외부인","가능","129.0100490","35.23186884","2020-12-31"
"부산","북구","부산 건강가정지원센터","부산북구 효열로 256","1층 정보자료실내","051-330-3474","외부인","불가","129.0211391","35.26817352","2020-12-31"
